183,205
185,235
188,263
194,291
207,316
225,336
249,351
274,364
301,368
327,367
348,355
368,341
382,321
390,295
395,269
400,243
403,215
215,190
229,175
250,170
271,173
291,181
332,184
351,178
371,177
388,184
396,202
310,205
311,224
311,243
312,262
286,273
297,276
309,280
320,277
329,275
239,207
251,202
265,202
276,210
264,213
250,213
336,213
349,206
362,207
373,213
362,218
348,217
266,308
283,303
297,301
307,304
317,302
329,305
342,310
329,317
317,319
306,319
295,318
282,315
272,308
296,307
307,309
317,308
338,310
317,308
307,309
296,307
